epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.347,1.59089,0.86148,1.08216,0.85914,0.78072,0.85736,0.52263,1.41583,0.68569,1.01761,0.000666341,0.000666341,0.000666341
2,1116.52,1.46505,0.72425,1.01838,0.86567,0.78236,0.85989,0.52695,1.39539,0.67721,1.00358,0.00130661,0.00130661,0.00130661
3,1680.94,1.44382,0.70417,1.00786,0.87331,0.79743,0.87146,0.53997,1.38177,0.65903,0.99949,0.00192049,0.00192049,0.00192049
4,2237.07,1.4238,0.68457,1.00066,0.88682,0.81448,0.88694,0.55674,1.34794,0.62509,0.98942,0.0018812,0.0018812,0.0018812
5,4293.1,1.41437,0.67381,0.99613,0.88481,0.81011,0.88129,0.55336,1.34848,0.62676,0.98743,0.0018416,0.0018416,0.0018416
6,4861.31,1.39132,0.65727,0.9904,0.88937,0.8167,0.88675,0.56306,1.32875,0.61146,0.98026,0.001802,0.001802,0.001802
7,5619.37,1.38497,0.64803,0.98809,0.89759,0.82016,0.89215,0.56655,1.32779,0.60578,0.98015,0.0017624,0.0017624,0.0017624
8,6368.56,1.38371,0.64546,0.98582,0.89867,0.82482,0.8957,0.57043,1.31937,0.59194,0.97802,0.0017228,0.0017228,0.0017228
9,6928.48,1.37032,0.63511,0.98279,0.90051,0.82682,0.8952,0.56874,1.31939,0.59013,0.97785,0.0016832,0.0016832,0.0016832
10,7652.22,1.36658,0.63044,0.98123,0.89963,0.83036,0.90092,0.57651,1.30926,0.58431,0.97346,0.0016436,0.0016436,0.0016436
11,8201.66,1.36019,0.62299,0.97882,0.89986,0.8291,0.89846,0.57631,1.31182,0.58126,0.97377,0.001604,0.001604,0.001604
12,8994.82,1.35451,0.62034,0.97946,0.90027,0.83372,0.90353,0.57938,1.30827,0.57515,0.97244,0.0015644,0.0015644,0.0015644
13,9543.28,1.35474,0.61673,0.97847,0.90265,0.83388,0.90181,0.58036,1.30325,0.5673,0.97222,0.0015248,0.0015248,0.0015248
14,11583.3,1.34931,0.61278,0.976,0.90154,0.83447,0.90444,0.58115,1.29929,0.57027,0.97042,0.0014852,0.0014852,0.0014852
15,12138.4,1.34565,0.61012,0.97506,0.89934,0.8375,0.90363,0.5828,1.29611,0.56182,0.97014,0.0014456,0.0014456,0.0014456
16,12892,1.33908,0.60488,0.97324,0.90095,0.83631,0.90475,0.58318,1.29737,0.56115,0.96952,0.001406,0.001406,0.001406
17,13609.9,1.33969,0.60112,0.97059,0.90285,0.83905,0.90563,0.58559,1.29592,0.55587,0.96915,0.0013664,0.0013664,0.0013664
18,14162.8,1.33369,0.59951,0.97239,0.90253,0.8398,0.90714,0.58522,1.28939,0.55537,0.96741,0.0013268,0.0013268,0.0013268
19,14951.7,1.33384,0.59755,0.97061,0.90338,0.84242,0.90629,0.58635,1.28996,0.55313,0.9673,0.0012872,0.0012872,0.0012872
20,15521.4,1.329,0.59338,0.97102,0.90036,0.84302,0.9074,0.58703,1.28906,0.55175,0.96722,0.0012476,0.0012476,0.0012476
21,16196,1.32984,0.5939,0.96966,0.90426,0.84322,0.90967,0.58906,1.2858,0.54533,0.96539,0.001208,0.001208,0.001208
22,16748.9,1.32221,0.58791,0.96724,0.90487,0.84539,0.90848,0.58833,1.28385,0.54655,0.96467,0.0011684,0.0011684,0.0011684
23,17359.6,1.32191,0.58721,0.96805,0.90617,0.84601,0.90995,0.59023,1.28165,0.54248,0.96469,0.0011288,0.0011288,0.0011288
24,18134,1.31634,0.58157,0.96511,0.90725,0.84735,0.91227,0.59186,1.28242,0.54215,0.96386,0.0010892,0.0010892,0.0010892
25,18686.5,1.31425,0.58189,0.96593,0.9019,0.85056,0.91276,0.59291,1.2805,0.54209,0.96307,0.0010496,0.0010496,0.0010496
26,19360.7,1.31325,0.57842,0.96397,0.90594,0.85091,0.91378,0.59389,1.27925,0.53779,0.96287,0.00101,0.00101,0.00101
27,19920.2,1.31135,0.57523,0.96501,0.90883,0.84873,0.91459,0.59465,1.27594,0.53608,0.96152,0.0009704,0.0009704,0.0009704
28,20631.8,1.31025,0.5757,0.96252,0.90742,0.85034,0.9126,0.59373,1.27785,0.53484,0.96273,0.0009308,0.0009308,0.0009308
29,21052.5,1.30979,0.57285,0.96343,0.90689,0.8484,0.9128,0.59457,1.27666,0.53449,0.96187,0.0008912,0.0008912,0.0008912
30,21536.7,1.30522,0.57143,0.96122,0.91039,0.85121,0.91623,0.59707,1.27563,0.53174,0.96134,0.0008516,0.0008516,0.0008516
31,22092.2,1.30688,0.57204,0.9612,0.91042,0.85031,0.91438,0.59583,1.27416,0.5324,0.9601,0.000812,0.000812,0.000812
32,22652.4,1.30383,0.56874,0.95981,0.91026,0.85257,0.9165,0.59724,1.27277,0.52838,0.96045,0.0007724,0.0007724,0.0007724
33,23293.8,1.30499,0.56877,0.96117,0.91002,0.85317,0.91656,0.59795,1.27098,0.52784,0.95919,0.0007328,0.0007328,0.0007328
34,23935.5,1.29716,0.56383,0.96042,0.91108,0.85301,0.9161,0.59713,1.27314,0.52774,0.96059,0.0006932,0.0006932,0.0006932
35,24502.7,1.2951,0.56065,0.95761,0.90981,0.85275,0.9143,0.59584,1.27292,0.52657,0.96024,0.0006536,0.0006536,0.0006536
36,25147.5,1.29247,0.55765,0.9577,0.91081,0.85363,0.9159,0.59819,1.27252,0.52504,0.9606,0.000614,0.000614,0.000614
37,25885.7,1.2953,0.56023,0.95872,0.91068,0.85538,0.91644,0.59791,1.27074,0.52486,0.96004,0.0005744,0.0005744,0.0005744
38,26662.5,1.29615,0.55955,0.959,0.90945,0.85581,0.9172,0.59841,1.26857,0.52429,0.95875,0.0005348,0.0005348,0.0005348
39,27213.4,1.2893,0.55429,0.95498,0.90932,0.85646,0.91854,0.59946,1.26984,0.52145,0.95899,0.0004952,0.0004952,0.0004952
40,27986.4,1.28692,0.55305,0.95485,0.90988,0.85823,0.91747,0.59948,1.26697,0.52035,0.95799,0.0004556,0.0004556,0.0004556
