epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,28569.3,1.28992,0.55029,0.97395,0.90872,0.85215,0.9146,0.59742,1.27099,0.52461,0.95988,0.000416,0.000416,0.000416
42,29290.6,1.28651,0.54609,0.9712,0.90949,0.85324,0.91475,0.59775,1.27093,0.52333,0.95962,0.0003764,0.0003764,0.0003764
43,29809.4,1.28175,0.54249,0.96934,0.9101,0.85536,0.91511,0.59816,1.26985,0.52169,0.9592,0.0003368,0.0003368,0.0003368
44,30477.1,1.28139,0.54104,0.96835,0.91101,0.85419,0.91453,0.59825,1.26942,0.52093,0.95919,0.0002972,0.0002972,0.0002972
45,30951.7,1.27941,0.53879,0.96933,0.91314,0.85509,0.91518,0.59898,1.26745,0.51907,0.95813,0.0002576,0.0002576,0.0002576
46,31523.1,1.27617,0.53493,0.96823,0.91205,0.85623,0.91574,0.59879,1.26806,0.51864,0.95811,0.000218,0.000218,0.000218
47,32252.7,1.27487,0.53291,0.96821,0.91181,0.85713,0.9162,0.59942,1.26801,0.51834,0.95827,0.0001784,0.0001784,0.0001784
48,32635.9,1.27081,0.52976,0.96701,0.9126,0.85731,0.9165,0.59975,1.26792,0.5168,0.95837,0.0001388,0.0001388,0.0001388
49,33381.1,1.26813,0.52673,0.96771,0.91168,0.85841,0.9174,0.60032,1.26763,0.51663,0.95809,9.92e-05,9.92e-05,9.92e-05
50,33904.3,1.26661,0.5254,0.96518,0.91132,0.8588,0.91703,0.60011,1.26781,0.51604,0.9582,5.96e-05,5.96e-05,5.96e-05
